txn_id,txn_date,account_code,account_name,vendor_name,approved_by,amount,flag_round_number,flag_weekend,flag_just_under_threshold,flag_duplicate,rule_flag_count,ml_flagged,hybrid_flagged,risk_score
114664,2024-09-28,6300,Professional & Legal Fees,Radiance Advertising Group,EMP0145,624814.44,0,1,0,1,2,1,1,70.6
114141,2024-08-14,6300,Professional & Legal Fees,Shree Balaji Logistics Pvt Ltd,EMP0134,1500000.0,1,0,0,1,2,1,1,69.2
114420,2024-11-24,7100,Equipment Purchases (Capex),Falcon Stationery Mart,EMP0111,494401.83,0,1,1,0,2,1,1,68.9
114097,2025-02-05,6700,Repairs & Maintenance,Meridian Consulting Partners,EMP0134,750000.0,1,0,0,1,2,1,1,67.1
114354,2024-10-12,6100,Travel & Conveyance,Union Print & Design Studio,EMP0128,492153.16,0,1,1,0,2,1,1,67.0
114884,2024-12-29,6100,Travel & Conveyance,Evergreen IT Solutions Pvt Ltd,EMP0143,1066.55,0,1,0,1,2,1,1,66.2
114694,2024-05-04,6100,Travel & Conveyance,Falcon Stationery Mart,EMP0114,324539.11,0,1,0,1,2,1,1,66.0
114704,2024-11-30,7100,Equipment Purchases (Capex),Keystone Repairs & Services,EMP0152,9354.36,0,1,0,1,2,1,1,65.0
114042,2025-01-23,6300,Professional & Legal Fees,Westfield Catering Services,EMP0111,500000.0,1,0,0,1,2,1,1,64.1
114128,2025-01-30,7100,Equipment Purchases (Capex),Silverline Facility Services,EMP0132,200000.0,1,0,0,1,2,1,1,63.8
114846,2024-09-29,6100,Travel & Conveyance,Keystone Repairs & Services,EMP0148,20998.05,0,1,0,1,2,1,1,63.2
114734,2025-01-05,6700,Repairs & Maintenance,Westfield Catering Services,EMP0103,9051.97,0,1,0,1,2,1,1,63.1
114115,2024-12-04,7100,Equipment Purchases (Capex),Keystone Repairs & Services,EMP0137,500000.0,1,0,0,1,2,1,1,63.0
114890,2025-03-29,7100,Equipment Purchases (Capex),Om Facilities Management,EMP0158,1906.98,0,1,0,1,2,1,1,63.0
114234,2024-10-28,6300,Professional & Legal Fees,Union Print & Design Studio,EMP0102,2500000.0,1,0,0,0,1,1,1,62.5
114024,2024-11-19,6800,Consulting Services,Orion Equipment Rentals,EMP0108,3000000.0,1,0,0,0,1,1,1,62.4
114026,2024-12-09,6500,Marketing & Advertising,Sundaram Professional Services,EMP0130,2500000.0,1,0,0,0,1,1,1,62.3
114032,2024-05-31,7100,Equipment Purchases (Capex),Silverline Facility Services,EMP0146,3000000.0,1,0,0,0,1,1,1,62.2
114041,2024-05-28,6100,Travel & Conveyance,Titan Hardware Suppliers,EMP0149,3000000.0,1,0,0,0,1,1,1,62.2
114086,2024-07-30,6700,Repairs & Maintenance,Yellowstone Cleaning Services,EMP0115,2000000.0,1,0,0,0,1,1,1,62.2
114101,2025-03-28,6500,Marketing & Advertising,Meridian Consulting Partners,EMP0141,3000000.0,1,0,0,0,1,1,1,62.2
114160,2024-07-12,6700,Repairs & Maintenance,Sundaram Professional Services,EMP0150,2500000.0,1,0,0,0,1,1,1,62.0
114918,2024-07-07,6300,Professional & Legal Fees,Yellowstone Cleaning Services,EMP0127,1576.87,0,1,0,1,2,1,1,62.0
114105,2024-04-30,6500,Marketing & Advertising,Nexgen Consulting LLP,EMP0116,3000000.0,1,0,0,0,1,1,1,61.9
114075,2024-11-18,7200,Rent & Facilities,Shree Balaji Logistics Pvt Ltd,EMP0132,3000000.0,1,0,0,0,1,1,1,61.9
114239,2025-01-09,6500,Marketing & Advertising,Sundaram Professional Services,EMP0126,3000000.0,1,0,0,0,1,1,1,61.8
114174,2024-11-22,6800,Consulting Services,Bharat Freight Carriers,EMP0120,3000000.0,1,0,0,0,1,1,1,61.7
114792,2024-07-28,7100,Equipment Purchases (Capex),Om Facilities Management,EMP0145,16954.37,0,1,0,1,2,1,1,61.6
114196,2024-04-30,6300,Professional & Legal Fees,Quantum Data Services Pvt Ltd,EMP0117,2500000.0,1,0,0,0,1,1,1,61.5
114120,2025-03-07,6200,Office Supplies & Stationery,Keystone Repairs & Services,EMP0123,2000000.0,1,0,0,0,1,1,1,61.5
114005,2024-09-02,7200,Rent & Facilities,Silverline Facility Services,EMP0105,3000000.0,1,0,0,0,1,1,1,61.4
114107,2024-10-31,7200,Rent & Facilities,Nexgen Consulting LLP,EMP0137,2500000.0,1,0,0,0,1,1,1,61.3
114069,2024-10-21,7100,Equipment Purchases (Capex),Radiance Advertising Group,EMP0106,2500000.0,1,0,0,0,1,1,1,61.2
114022,2025-02-13,6300,Professional & Legal Fees,Keystone Repairs & Services,EMP0133,3000000.0,1,0,0,0,1,1,1,61.2
114151,2024-09-04,6400,IT & Software Licenses,Bharat Freight Carriers,EMP0135,2500000.0,1,0,0,0,1,1,1,61.2
114208,2025-01-22,6700,Repairs & Maintenance,Falcon Stationery Mart,EMP0130,3000000.0,1,0,0,0,1,1,1,61.2
114202,2024-05-10,6100,Travel & Conveyance,Westfield Catering Services,EMP0157,2500000.0,1,0,0,0,1,1,1,61.2
114139,2025-01-02,6100,Travel & Conveyance,Quantum Data Services Pvt Ltd,EMP0132,3000000.0,1,0,0,0,1,1,1,61.1
114944,2024-08-11,6800,Consulting Services,Bharat Freight Carriers,EMP0104,14911.93,0,1,0,1,2,1,1,61.1
114188,2024-09-09,7100,Equipment Purchases (Capex),Evergreen IT Solutions Pvt Ltd,EMP0119,2500000.0,1,0,0,0,1,1,1,61.1
114078,2024-05-07,6600,Electricity & Utilities,Falcon Stationery Mart,EMP0134,3000000.0,1,0,0,0,1,1,1,61.1
114021,2024-04-25,6300,Professional & Legal Fees,Sundaram Professional Services,EMP0156,2500000.0,1,0,0,0,1,1,1,61.1
114062,2025-01-03,6100,Travel & Conveyance,Falcon Stationery Mart,EMP0157,3000000.0,1,0,0,0,1,1,1,61.1
114179,2025-01-28,6500,Marketing & Advertising,Vertex Engineering Co Pvt Ltd,EMP0117,2000000.0,1,0,0,0,1,1,1,61.0
114154,2024-05-28,6600,Electricity & Utilities,Horizon Marketing Solutions,EMP0116,1500000.0,1,0,0,0,1,1,1,60.9
114079,2024-11-28,6500,Marketing & Advertising,Om Facilities Management,EMP0113,2000000.0,1,0,0,0,1,1,1,60.9
114087,2024-07-30,7100,Equipment Purchases (Capex),Yellowstone Cleaning Services,EMP0154,1500000.0,1,0,0,0,1,1,1,60.9
114197,2024-08-28,6400,IT & Software Licenses,Quantum Data Services Pvt Ltd,EMP0103,1500000.0,1,0,0,0,1,1,1,60.9
114766,2024-09-15,7100,Equipment Purchases (Capex),Keystone Repairs & Services,EMP0123,2534.71,0,1,0,1,2,1,1,60.8
114037,2025-03-06,7100,Equipment Purchases (Capex),Northstar Power & Utilities,EMP0124,3000000.0,1,0,0,0,1,1,1,60.8
114247,2024-06-05,7200,Rent & Facilities,Radiance Advertising Group,EMP0132,3000000.0,1,0,0,0,1,1,1,60.8
114049,2024-06-18,6200,Office Supplies & Stationery,Evergreen IT Solutions Pvt Ltd,EMP0135,3000000.0,1,0,0,0,1,1,1,60.8
114224,2025-01-24,6400,IT & Software Licenses,Crescent Office Supplies,EMP0112,3000000.0,1,0,0,0,1,1,1,60.8
114012,2025-01-21,6700,Repairs & Maintenance,Lumen Software Systems India,EMP0149,3000000.0,1,0,0,0,1,1,1,60.8
114223,2024-04-03,7100,Equipment Purchases (Capex),Orion Equipment Rentals,EMP0133,2000000.0,1,0,0,0,1,1,1,60.8
114002,2024-12-06,6500,Marketing & Advertising,Evergreen IT Solutions Pvt Ltd,EMP0134,3000000.0,1,0,0,0,1,1,1,60.7
114050,2024-09-27,6800,Consulting Services,Ironclad Security Systems,EMP0124,2500000.0,1,0,0,0,1,1,1,60.7
114144,2025-03-05,6600,Electricity & Utilities,Radiance Advertising Group,EMP0110,2500000.0,1,0,0,0,1,1,1,60.7
114194,2025-01-21,6400,IT & Software Licenses,Orion Equipment Rentals,EMP0105,1500000.0,1,0,0,0,1,1,1,60.7
114886,2024-08-31,6400,IT & Software Licenses,Keystone Repairs & Services,EMP0151,24959.73,0,1,0,1,2,1,1,60.6
114011,2024-04-04,7200,Rent & Facilities,Westfield Catering Services,EMP0151,2500000.0,1,0,0,0,1,1,1,60.5
114190,2024-11-14,6300,Professional & Legal Fees,Keystone Repairs & Services,EMP0115,2500000.0,1,0,0,0,1,1,1,60.5
114132,2024-05-15,6400,IT & Software Licenses,Vertex Engineering Co Pvt Ltd,EMP0121,2500000.0,1,0,0,0,1,1,1,60.5
114181,2024-10-21,6200,Office Supplies & Stationery,Falcon Stationery Mart,EMP0122,1500000.0,1,0,0,0,1,1,1,60.4
114117,2025-03-12,7200,Rent & Facilities,Pinecrest Travel & Tours,EMP0152,3000000.0,1,0,0,0,1,1,1,60.4
114808,2025-01-11,7200,Rent & Facilities,Shree Balaji Logistics Pvt Ltd,EMP0131,132240.5,0,1,0,1,2,1,1,60.3
114085,2024-10-23,6300,Professional & Legal Fees,Shree Balaji Logistics Pvt Ltd,EMP0152,2500000.0,1,0,0,0,1,1,1,60.3
114125,2025-02-12,6300,Professional & Legal Fees,Horizon Marketing Solutions,EMP0131,3000000.0,1,0,0,0,1,1,1,60.3
114222,2025-02-27,6300,Professional & Legal Fees,Meridian Consulting Partners,EMP0108,3000000.0,1,0,0,0,1,1,1,60.3
114820,2024-08-17,6800,Consulting Services,Om Facilities Management,EMP0138,132562.89,0,1,0,1,2,1,1,60.1
114213,2024-07-02,6100,Travel & Conveyance,Quantum Data Services Pvt Ltd,EMP0120,2500000.0,1,0,0,0,1,1,1,60.1
114198,2024-11-25,6500,Marketing & Advertising,Orion Equipment Rentals,EMP0148,1500000.0,1,0,0,0,1,1,1,60.1
114094,2025-03-26,7200,Rent & Facilities,Radiance Advertising Group,EMP0115,2500000.0,1,0,0,0,1,1,1,59.9
114146,2024-11-11,7200,Rent & Facilities,Northstar Power & Utilities,EMP0113,2000000.0,1,0,0,0,1,1,1,59.9
114199,2025-01-28,6700,Repairs & Maintenance,Titan Hardware Suppliers,EMP0144,1500000.0,1,0,0,0,1,1,1,59.9
114171,2025-03-21,6100,Travel & Conveyance,Shree Balaji Logistics Pvt Ltd,EMP0123,200000.0,1,0,0,1,2,1,1,59.8
114103,2024-11-04,6300,Professional & Legal Fees,Lumen Software Systems India,EMP0148,2000000.0,1,0,0,0,1,1,1,59.8
114155,2025-01-01,7200,Rent & Facilities,Ironclad Security Systems,EMP0104,2500000.0,1,0,0,0,1,1,1,59.7
114126,2024-09-18,6600,Electricity & Utilities,Sundaram Professional Services,EMP0112,1500000.0,1,0,0,0,1,1,1,59.7
114080,2024-07-15,6200,Office Supplies & Stationery,Silverline Facility Services,EMP0157,1500000.0,1,0,0,0,1,1,1,59.6
114200,2024-12-18,6100,Travel & Conveyance,Westfield Catering Services,EMP0115,1500000.0,1,0,0,0,1,1,1,59.5
114056,2024-12-10,6800,Consulting Services,Titan Hardware Suppliers,EMP0113,2000000.0,1,0,0,0,1,1,1,59.5
114036,2024-05-23,6700,Repairs & Maintenance,Ironclad Security Systems,EMP0106,2000000.0,1,0,0,0,1,1,1,59.4
114183,2024-09-24,7200,Rent & Facilities,Sundaram Professional Services,EMP0154,2000000.0,1,0,0,0,1,1,1,59.4
114027,2025-02-25,6600,Electricity & Utilities,Pinecrest Travel & Tours,EMP0157,2000000.0,1,0,0,0,1,1,1,59.4
114137,2024-10-09,6800,Consulting Services,Northstar Power & Utilities,EMP0111,1500000.0,1,0,0,0,1,1,1,59.3
114143,2025-02-04,7100,Equipment Purchases (Capex),Radiance Advertising Group,EMP0131,2000000.0,1,0,0,0,1,1,1,59.3
114177,2024-07-22,6800,Consulting Services,Orion Equipment Rentals,EMP0111,750000.0,1,0,0,0,1,1,1,59.3
114031,2025-02-18,6700,Repairs & Maintenance,Vertex Engineering Co Pvt Ltd,EMP0155,2000000.0,1,0,0,0,1,1,1,59.2
